Ablation ladder — is the 27-cell regime conditioning real?
All rungs scored on the SAME decision windows (gated on the conditional cell).
p05 = 5th-percentile slippage (the adverse tail). + = beats a market order at the open.
conditional reproduces run_backtest_rolling at target=0.6 (asserted).

=== Gold (tick=0.1, active days 132/296) ===
market    side tau target rung              n   fill      avg   median p05(tail)
Gold      sell  60   0.40 unconditional   2395 47.1%   +0.709  +12.000    -58.00
Gold      sell  60   0.50 conditional    2395 53.6%   +0.710  +13.000    -57.30
Gold      sell  60   0.50 unconditional   2395 57.0%   +0.778  +16.000    -55.00
Gold      sell  60   0.60 conditional    2395 62.8%   +0.374  +11.000    -52.00
Gold      sell  60   0.60 unconditional   2395 66.1%   +0.428  +12.000    -51.00
Gold      sell  60   0.70 conditional    2395 72.0%   -0.115   +9.000    -50.00
Gold      sell  60   0.70 unconditional   2395 75.8%   -0.185   +8.000    -47.00
Gold      sell  60   0.80 conditional    2395 80.1%   -0.262   +6.000    -41.00
Gold      sell  60   0.80 unconditional   2395 83.9%   -0.040   +6.000    -35.00
Gold      sell  60    -   persistence    2395 50.4%   -0.027   +4.000    -57.00
Gold      sell  60    -   random         2395 25.2%   +0.778   +4.000    -62.00
Gold      sell  60    -   vwap           2395 100.0%   -0.457   +0.259    -43.98
Gold      buy   60   0.40 conditional    2395 43.6%   -0.679   +7.000    -57.00
Gold      buy   60   0.40 unconditional   2395 47.4%   -0.556  +10.000    -57.00
Gold      buy   60   0.50 conditional    2395 53.6%   -0.111  +11.000    -55.30
Gold      buy   60   0.50 unconditional   2395 57.7%   -0.184  +15.000    -53.00
Gold      buy   60   0.60 conditional    2395 63.6%   +0.345  +10.000    -50.00
Gold      buy   60   0.60 unconditional   2395 66.3%   -0.319  +12.000    -49.00
Gold      buy   60   0.70 conditional    2395 72.4%   +0.256   +9.000    -44.00
Gold      buy   60   0.70 unconditional   2395 75.5%   +0.208   +9.000    -41.30
Gold      buy   60   0.80 conditional    2395 80.8%   +0.271   +6.000    -37.00
Gold      buy   60   0.80 unconditional   2395 84.2%   +0.302   +6.000    -34.00
Gold      buy   60    -   persistence    2395 50.9%   -0.476   +4.000    -57.00
Gold      buy   60    -   random         2395 24.8%   -1.233   +2.000    -60.30
Gold      buy   60    -   vwap           2395 100.0%   +0.457   -0.259    -40.27
  saved: reports\figures\ablation_pareto_Gold.png
  saved: reports\figures\ablation_tau_Gold.png

=== Nasdaq (tick=0.25, active days 147/291) ===
market    side tau target rung              n   fill      avg   median p05(tail)
------------------------------------------------------------------------------
Nasdaq    sell   5   0.40 conditional   39364 52.8%   +0.200   +8.000    -52.00
Nasdaq    sell   5   0.40 unconditional  39364 51.2%   +0.152   +7.000    -47.00
Nasdaq    sell   5   0.50 conditional   39364 62.3%   +0.186   +7.000    -48.00
Nasdaq    sell   5   0.50 unconditional  39364 61.4%   +0.041   +7.000    -43.00
Nasdaq    sell   5   0.60 conditional   39364 71.3%   +0.119   +7.000    -42.00
Nasdaq    sell   5   0.60 unconditional  39364 71.4%   -0.065   +7.000    -37.00
Nasdaq    sell   5   0.70 conditional   39364 79.7%   -0.031   +5.000    -36.00
Nasdaq    sell   5   0.70 unconditional  39364 79.7%   -0.114   +6.000    -30.00
Nasdaq    sell   5   0.80 conditional   39364 87.0%   -0.199   +3.000    -26.00
Nasdaq    sell   5   0.80 unconditional  39364 87.6%   -0.212   +4.000    -21.00
Nasdaq    sell   5    -   persistence   39364 51.6%   +0.251   +3.000    -53.00
Nasdaq    sell   5    -   random        39364 14.1%   +0.180   +2.000    -63.00
Nasdaq    sell   5    -   vwap          39364 100.0%   -0.037   +0.170    -43.44
Nasdaq    buy    5   0.40 conditional   39364 52.9%   -0.211   +7.000    -51.00
Nasdaq    buy    5   0.40 unconditional  39364 51.4%   -0.246   +7.000    -46.00
Nasdaq    buy    5   0.50 conditional   39364 62.5%   -0.227   +7.000    -47.00
Nasdaq    buy    5   0.50 unconditional  39364 62.1%   -0.210   +7.000    -41.00
Nasdaq    buy    5   0.60 conditional   39364 71.9%   -0.117   +6.000    -41.00
Nasdaq    buy    5   0.60 unconditional  39364 71.3%   -0.274   +6.000    -37.00
Nasdaq    buy    5   0.70 conditional   39364 79.7%   -0.362   +5.000    -36.00
Nasdaq    buy    5   0.70 unconditional  39364 80.4%   -0.420   +5.000    -31.00
Nasdaq    buy    5   0.80 conditional   39364 87.2%   -0.428   +3.000    -27.00
Nasdaq    buy    5   0.80 unconditional  39364 88.1%   -0.427   +3.000    -22.00
Nasdaq    buy    5    -   persistence   39364 51.7%   -0.099   +3.000    -54.00
Nasdaq    buy    5    -   random        39364 14.9%   -0.244   +1.000    -61.00
Nasdaq    buy    5    -   vwap          39364 100.0%   +0.037   -0.170    -41.11
Nasdaq    sell  10   0.40 conditional   19280 51.1%   +0.479  +11.000    -73.00
Nasdaq    sell  10   0.40 unconditional  19280 50.6%   +0.180  +11.000    -68.05
Nasdaq    sell  10   0.50 conditional   19280 60.8%   +0.281  +12.000    -67.00
Nasdaq    sell  10   0.50 unconditional  19280 61.1%   +0.207  +11.000    -61.00
Nasdaq    sell  10   0.60 conditional   19280 69.7%   +0.063  +10.000    -59.00
Nasdaq    sell  10   0.60 unconditional  19280 70.6%   -0.026  +10.000    -54.00
Nasdaq    sell  10   0.70 conditional   19280 78.2%   -0.025   +8.000    -50.00
Nasdaq    sell  10   0.70 unconditional  19280 79.4%   -0.310   +8.000    -45.00
Nasdaq    sell  10   0.80 conditional   19280 85.8%   -0.289   +5.000    -37.00
Nasdaq    sell  10   0.80 unconditional  19280 87.0%   -0.450   +5.000    -32.00
Nasdaq    sell  10    -   persistence   19280 50.7%   +0.024   +5.000    -77.00
Nasdaq    sell  10    -   random        19280 16.9%   +0.361   +3.000    -88.00
Nasdaq    sell  10    -   vwap          19280 100.0%   -0.140   +0.259    -59.70
Nasdaq    buy   10   0.40 conditional   19280 52.0%   -0.216  +10.000    -72.00
